key,en_US,fr_FR
ADVENTURE_START_TITLE,Start of Adventure,Début de l'aventure
BASICS_OF_BATTLE_TITLE,Basics of Battle,Les bases du combat
GUARDIAN_OF_THE_PRAIRIE_TITLE,Guardians of the Prairie,Les gardiens de la prairie
PRAIRIE_MONSTER_TITLE,Monsters of the Prairie,Les monstres de la prairie
UNDISCOVERED_PRAIRIE_TITLE,Undiscovered Prairie,Prairie inconnue
ADVENTURE_START_DESC,"Your journey as a Summoner traveling across Grand Gia has begun! Go forth, and don't forget what Tilith taught you!","Votre aventure en temps qu'Invocateur ne fait que commencer! Allez toujours de l'avant, et n'oubliez pas ce que Tilith vous a expliqué!"
BASICS_OF_BATTLE_DESC,It's time to discuss basic combat techniques!,Parlons des bases du combat!
GUARDIAN_OF_THE_PRAIRIE_DESC,"You can see a rocky mountain faintly on the horizon. Tilith is waiting at the ""Cave of Flames"" just beyond here.","Tu vois la grande montagne là bas? Tilith t'attends dans la ""Grotte Enflammé""."
PRAIRIE_MONSTER_DESC,The calm grassland keep on going. The monsters here are just right for a beginner. Keep moving forward.,Cette plaine est tellement calme. Les monstres présent sont juste là pour entraîner les débutant.
UNDISCOVERED_PRAIRIE_DESC,Tilith didn't mention anything about this area…,Tilith n'a jamais parlé de cet endroit...
